Results of Simulation 1

Time	Q_1	Q_2	Q_3	Q_4	Q_5	Q_6	Q_7	Q_8	Q_9	Q_10	Q_11	Q_12	Q_13	Q_14	Q_15	Q_16	Q_17	Q_18	Q_19	Q_20	Q_21	mass_balance
5	0.082085	0.205212	0.256516	0.213763	0.133602	0.0668009	0.0278337	0.00994062	0.00310645	0.000862904	0.000215727	4.90299e-05	1.0215e-05	1.96461e-06	3.50884e-07	5.84973e-08	9.14434e-09	1.34567e-09	1.87081e-10	2.46495e-11	3.50235e-12	1
5.5	0.0639279	0.175802	0.241727	0.221583	0.152338	0.0837861	0.038402	0.0150865	0.00518599	0.00158461	0.000435769	0.000108943	2.49668e-05	5.28172e-06	1.03759e-06	1.90258e-07	3.27101e-08	5.2937e-09	8.09289e-10	1.17242e-10	1.85596e-11	1
6	0.0497871	0.149361	0.224042	0.224042	0.168031	0.100819	0.0504094	0.021604	0.00810152	0.00270051	0.000810153	0.000220952	5.52387e-05	1.27477e-05	2.73181e-06	5.46415e-07	1.02469e-07	1.80874e-08	3.01571e-09	4.76424e-10	8.33497e-11	1
6.5	0.0387742	0.126016	0.204776	0.221841	0.180246	0.11716	0.0634615	0.0294643	0.0119699	0.00432246	0.0014048	0.000415055	0.000112411	2.81033e-05	6.52422e-06	1.41367e-06	2.87185e-07	5.49132e-08	9.91766e-09	1.69714e-09	3.26039e-10	1
7	0.0301973	0.105691	0.184959	0.215785	0.188812	0.132169	0.0770983	0.0385491	0.0168652	0.00655871	0.00229556	0.000730408	0.000213037	5.73563e-05	1.43391e-05	3.34581e-06	7.31899e-07	1.50687e-07	2.93012e-08	5.39791e-09	1.13175e-09	1
7.5	0.0235177	0.0881917	0.165359	0.206699	0.19378	0.145335	0.0908345	0.0486613	0.02281	0.00950416	0.00356406	0.00121503	0.000379698	0.000109529	2.93384e-05	7.33471e-06	1.71911e-06	3.79229e-07	7.90106e-08	1.55956e-08	3.5532e-09	1
8	0.0183156	0.0732627	0.146525	0.195367	0.195367	0.156294	0.104196	0.0595404	0.0297702	0.0132312	0.00529247	0.00192454	0.000641516	0.000197391	5.63979e-05	1.50397e-05	3.76e-06	8.84736e-07	1.96618e-07	4.13965e-08	1.02044e-08	1
8.5	0.0142642	0.0606231	0.128824	0.1825	0.193907	0.164821	0.116748	0.0708827	0.0376564	0.0177822	0.00755743	0.00291992	0.00103414	0.000338086	0.000102634	2.90802e-05	7.72461e-06	1.93122e-06	4.56007e-07	1.0201e-07	2.71057e-08	1
9	0.011109	0.0499905	0.112479	0.168718	0.189808	0.170827	0.12812	0.0823629	0.0463291	0.0231646	0.0104241	0.0042644	0.00159915	0.000553553	0.000177927	5.33781e-05	1.50125e-05	3.97388e-06	9.93466e-07	2.35295e-07	6.71651e-08	1
9.5	0.00865167	0.0410956	0.097602	0.154536	0.183512	0.174336	0.138016	0.0936539	0.055607	0.0293481	0.0139404	0.00601971	0.0023828	0.00087064	0.000295396	9.35425e-05	2.77707e-05	7.75957e-06	2.04772e-06	5.11952e-07	1.5657e-07	1
10	0.00673791	0.0336897	0.0842244	0.140374	0.175467	0.175467	0.146223	0.104445	0.0652781	0.0362656	0.0181328	0.00824217	0.00343423	0.00132086	0.000471737	0.000157247	4.91404e-05	1.44535e-05	4.01504e-06	1.05667e-06	3.45329e-07	1


