Results of Simulation 1

Time	Q_1	Q_2	Q_3	Q_4	Q_5	Q_6	Q_7	Q_8	Q_9	Q_10	Q_11	Q_12	Q_13	Q_14	Q_15	Q_16	Q_17	Q_18	Q_19	Q_20	Q_21	mass_balance
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.5	0.778801	0.194699	0.0243394	0.00202671	0.000126977	6.43292e-06	2.76813e-07	1.04837e-08	3.58838e-10	1.13267e-11	3.34903e-13	9.39082e-15	2.52197e-16	6.5389e-18	1.64755e-19	4.05587e-21	9.79899e-23	2.33204e-24	5.48373e-26	1.2773e-27	3.02259e-29	1
1	0.60653	0.303267	0.0758147	0.0126372	0.00157912	0.000157927	1.32022e-05	9.52324e-07	6.07362e-08	3.49116e-09	1.83666e-10	8.95464e-12	4.08771e-13	1.76205e-14	7.22347e-16	2.83314e-17	1.06854e-18	3.89221e-20	1.37437e-21	4.71969e-23	1.6341e-24	1
1.5	0.472366	0.354277	0.13285	0.0332151	0.00622719	0.000933913	0.000116787	1.25394e-05	1.18174e-06	9.94559e-08	7.57976e-09	5.2917e-10	3.417e-11	2.05765e-12	1.16371e-13	6.21913e-15	3.15759e-16	1.53028e-17	7.10855e-19	3.17682e-20	1.42999e-21	1
2	0.367879	0.367879	0.18394	0.0613125	0.0153286	0.00306567	0.000510917	7.29961e-05	9.13097e-06	1.01651e-06	1.02047e-07	9.33926e-09	7.86379e-10	6.14017e-11	4.47642e-12	3.0655e-13	1.98249e-14	1.21656e-15	7.11429e-17	3.98006e-18	2.25398e-19	1
2.5	0.286505	0.358131	0.223833	0.0932627	0.0291448	0.00728628	0.00151795	0.000271057	4.23569e-05	5.88572e-06	7.36637e-07	8.39216e-08	8.78073e-09	8.50253e-10	7.67054e-11	6.48519e-12	5.16555e-13	3.89448e-14	2.79105e-15	1.9087e-16	1.33361e-17	1
3	0.22313	0.334695	0.251022	0.12551	0.0470664	0.01412	0.00353	0.000756422	0.000141831	2.36413e-05	3.54748e-06	4.84143e-07	6.06109e-08	7.0116e-09	7.54244e-10	7.58638e-11	7.16991e-12	6.39517e-13	5.40466e-14	4.34332e-15	3.59267e-16	1
3.5	0.173774	0.304104	0.266092	0.15522	0.0679086	0.0237681	0.00693237	0.00173309	0.000379113	7.37188e-05	1.29023e-05	2.05325e-06	2.99611e-07	4.03747e-08	5.05541e-09	5.91313e-10	6.49132e-11	6.71615e-12	6.57374e-13	6.1078e-14	5.90011e-15	1
4	0.135335	0.270671	0.270671	0.180447	0.0902234	0.0360894	0.0120298	0.00343709	0.000859275	0.000190952	3.81918e-05	6.94466e-06	1.1577e-06	1.78181e-07	2.54726e-08	3.40023e-09	4.25766e-10	5.02157e-11	5.59903e-12	5.92156e-13	6.58803e-14	1
4.5	0.105399	0.237148	0.266792	0.200094	0.112553	0.0506487	0.0189933	0.00610499	0.00171703	0.000429259	9.65848e-05	1.97568e-05	3.70477e-06	6.41332e-07	1.03106e-07	1.54745e-08	2.17797e-09	2.88624e-10	3.61427e-11	4.29057e-12	5.42324e-13	1
