Results of Simulation 1

Time	Q	dQ
184.4	0.00216043	-0.000216043
184.6	0.00211765	-0.000211765
184.8	0.00207571	-0.000207571
185	0.00203461	-0.000203461
185.2	0.00199432	-0.000199432
185.4	0.00195483	-0.000195483
185.6	0.00191613	-0.000191613
185.8	0.00187818	-0.000187818
186	0.00184099	-0.000184099
186.2	0.00180454	-0.000180454
186.4	0.00176881	-0.000176881
186.6	0.00173378	-0.000173378
186.8	0.00169945	-0.000169945
187	0.0016658	-0.00016658
187.2	0.00163282	-0.000163282
187.4	0.00160048	-0.000160048
187.6	0.00156879	-0.000156879
187.8	0.00153773	-0.000153773
188	0.00150728	-0.000150728
188.2	0.00147743	-0.000147743
188.4	0.00144818	-0.000144818
188.6	0.0014195	-0.00014195
188.8	0.00139139	-0.000139139
189	0.00136384	-0.000136384
189.2	0.00133684	-0.000133684
189.4	0.00131036	-0.000131036
189.6	0.00128442	-0.000128442
189.8	0.00125898	-0.000125898
190	0.00123406	-0.000123406
190.2	0.00120962	-0.000120962
190.4	0.00118567	-0.000118567
190.6	0.00116219	-0.000116219
190.8	0.00113918	-0.000113918
191	0.00111662	-0.000111662
191.2	0.00109451	-0.000109451
191.4	0.00107284	-0.000107284
191.6	0.00105159	-0.000105159
191.8	0.00103077	-0.000103077
192	0.00101036	-0.000101036
192.2	0.000990352	-9.90352e-05
192.4	0.000970742	-9.70742e-05
192.6	0.00095152	-9.5152e-05
192.8	0.000932679	-9.32679e-05
193	0.00091421	-9.1421e-05
193.2	0.000896108	-8.96108e-05
193.4	0.000878364	-8.78364e-05
193.6	0.000860971	-8.60971e-05
193.8	0.000843923	-8.43923e-05
194	0.000827212	-8.27212e-05
194.2	0.000810832	-8.10832e-05
194.4	0.000794776	-7.94776e-05
194.6	0.000779039	-7.79039e-05
194.8	0.000763613	-7.63613e-05
195	0.000748492	-7.48492e-05
195.2	0.000733671	-7.33671e-05
195.4	0.000719143	-7.19143e-05
195.6	0.000704903	-7.04903e-05
195.8	0.000690945	-6.90945e-05
196	0.000677264	-6.77264e-05
196.2	0.000663853	-6.63853e-05
196.4	0.000650708	-6.50708e-05
196.6	0.000637823	-6.37823e-05
196.8	0.000625193	-6.25193e-05
197	0.000612814	-6.12814e-05
197.2	0.000600679	-6.00679e-05
197.4	0.000588785	-5.88785e-05
197.6	0.000577126	-5.77126e-05
197.8	0.000565698	-5.65698e-05
198	0.000554497	-5.54497e-05
198.2	0.000543517	-5.43517e-05
198.4	0.000532755	-5.32755e-05
198.6	0.000522205	-5.22205e-05
198.8	0.000511865	-5.11865e-05
199	0.000501729	-5.01729e-05
199.2	0.000491794	-4.91794e-05
199.4	0.000482056	-4.82056e-05
199.6	0.000472511	-4.72511e-05
199.8	0.000463155	-4.63155e-05
200	0.000453983	-4.53983e-05


