Results of Simulation 1

Time	Q	dQ
45.4	9.89327	0.0106734
45.6	9.89538	0.0104621
45.8	9.89745	0.0102549
46	9.89948	0.0100518
46.2	9.90147	0.00985279
46.4	9.90342	0.00965769
46.6	9.90534	0.00946646
46.8	9.90721	0.00927901
47	9.90905	0.00909527
47.2	9.91085	0.00891518
47.4	9.91261	0.00873864
47.6	9.91434	0.00856561
47.8	9.91604	0.008396
48	9.9177	0.00822974
48.2	9.91933	0.00806678
48.4	9.92093	0.00790705
48.6	9.9225	0.00775048
48.8	9.92403	0.00759701
49	9.92553	0.00744658
49.2	9.92701	0.00729913
49.4	9.92845	0.0071546
49.6	9.92987	0.00701293
49.8	9.93126	0.00687406
50	9.93262	0.00673795
50.2	9.93395	0.00660452
50.4	9.93526	0.00647375
50.6	9.93654	0.00634556
50.8	9.9378	0.00621991
51	9.93903	0.00609674
51.2	9.94024	0.00597602
51.4	9.94142	0.00585769
51.6	9.94258	0.0057417
51.8	9.94372	0.005628
52	9.94483	0.00551656
52.2	9.94593	0.00540733
52.4	9.947	0.00530026
52.6	9.94805	0.0051953
52.8	9.94908	0.00509243
53	9.95008	0.00499159
53.2	9.95107	0.00489275
53.4	9.95204	0.00479587
53.6	9.95299	0.0047009
53.8	9.95392	0.00460782
54	9.95483	0.00451658
54.2	9.95573	0.00442715
54.4	9.95661	0.00433948
54.6	9.95746	0.00425355
54.8	9.95831	0.00416933
55	9.95913	0.00408677
55.2	9.95994	0.00400585
55.4	9.96073	0.00392653
55.6	9.96151	0.00384878
55.8	9.96227	0.00377256
56	9.96302	0.00369786
56.2	9.96375	0.00362464
56.4	9.96447	0.00355287
56.6	9.96517	0.00348252
56.8	9.96586	0.00341356
57	9.96654	0.00334596
57.2	9.9672	0.00327971
57.4	9.96785	0.00321477
57.6	9.96849	0.00315111
57.8	9.96911	0.00308871
58	9.96972	0.00302755
58.2	9.97032	0.0029676
58.4	9.97091	0.00290884
58.6	9.97149	0.00285124
58.8	9.97205	0.00279478
59	9.97261	0.00273944
59.2	9.97315	0.0026852
59.4	9.97368	0.00263203
59.6	9.9742	0.00257991
59.8	9.97471	0.00252883
60	9.97521	0.00247875
60.2	9.9757	0.00242967
60.4	9.97618	0.00238156
60.6	9.97666	0.0023344
60.8	9.97712	0.00228818
61	9.97757	0.00224287
61.2	9.97802	0.00219846
61.4	9.97845	0.00215492
61.6	9.97888	0.00211225
61.8	9.9793	0.00207043
62	9.97971	0.00202943
62.2	9.98011	0.00198924
62.4	9.9805	0.00194985
62.6	9.98089	0.00191125
62.8	9.98127	0.0018734
63	9.98164	0.0018363
63.2	9.982	0.00179994
63.4	9.98236	0.0017643
63.6	9.98271	0.00172937
63.8	9.98305	0.00169512
64	9.98338	0.00166156
64.2	9.98371	0.00162866
64.4	9.98404	0.00159641
64.6	9.98435	0.0015648
64.8	9.98466	0.00153381
65	9.98497	0.00150344
65.2	9.98526	0.00147367
65.4	9.98556	0.00144449
65.6	9.98584	0.00141589
65.8	9.98612	0.00138785
66	9.9864	0.00136037
66.2	9.98667	0.00133343
66.4	9.98693	0.00130703
66.6	9.98719	0.00128115
66.8	9.98744	0.00125578
67	9.98769	0.00123091
67.2	9.98793	0.00120654
67.4	9.98817	0.00118265
67.6	9.98841	0.00115923
67.8	9.98864	0.00113627
68	9.98886	0.00111377
68.2	9.98908	0.00109172
68.4	9.9893	0.0010701
68.6	9.98951	0.00104891
68.8	9.98972	0.00102814
69	9.98992	0.00100779
69.2	9.99012	0.00098783
69.4	9.99032	0.000968269
69.6	9.99051	0.000949096
69.8	9.9907	0.000930303
70	9.99088	0.000911882
70.2	9.99106	0.000893825
70.4	9.99124	0.000876126
70.6	9.99141	0.000858778
70.8	9.99158	0.000841773
71	9.99175	0.000825105
71.2	9.99191	0.000808767
71.4	9.99207	0.000792752
71.6	9.99223	0.000777054
71.8	9.99238	0.000761668
72	9.99253	0.000746586
72.2	9.99268	0.000731802
72.4	9.99283	0.000717312
72.6	9.99297	0.000703108
72.8	9.99311	0.000689185
73	9.99324	0.000675539
73.2	9.99338	0.000662162
73.4	9.99351	0.00064905
73.6	9.99364	0.000636198
73.8	9.99376	0.000623601
74	9.99389	0.000611253
74.2	9.99401	0.000599149
74.4	9.99413	0.000587285
74.6	9.99424	0.000575656
74.8	9.99436	0.000564257
75	9.99447	0.000553084
75.2	9.99458	0.000542132
75.4	9.99469	0.000531397
75.6	9.99479	0.000520875
75.8	9.99489	0.000510561
76	9.995	0.000500451
76.2	9.99509	0.000490542
76.4	9.99519	0.000480828
76.6	9.99529	0.000471307
76.8	9.99538	0.000461975
77	9.99547	0.000452827
77.2	9.99556	0.00044386
77.4	9.99565	0.000435071
77.6	9.99574	0.000426456
77.8	9.99582	0.000418012
78	9.9959	0.000409735
78.2	9.99598	0.000401622
78.4	9.99606	0.000393669
78.6	9.99614	0.000385874
78.8	9.99622	0.000378233
79	9.99629	0.000370743
79.2	9.99637	0.000363402
79.4	9.99644	0.000356206
79.6	9.99651	0.000349153
79.8	9.99658	0.000342239
80	9.99665	0.000335463
80.2	9.99671	0.00032882
80.4	9.99678	0.000322309
80.6	9.99684	0.000315927
80.8	9.9969	0.000309671
81	9.99696	0.000303539
81.2	9.99702	0.000297529
81.4	9.99708	0.000291637
81.6	9.99714	0.000285862
81.8	9.9972	0.000280202
82	9.99725	0.000274653
82.2	9.99731	0.000269215
82.4	9.99736	0.000263884
82.6	9.99741	0.000258659
82.8	9.99746	0.000253537
83	9.99751	0.000248517
83.2	9.99756	0.000243596
83.4	9.99761	0.000238772
83.6	9.99766	0.000234044
83.8	9.99771	0.00022941
84	9.99775	0.000224867
84.2	9.9978	0.000220415
84.4	9.99784	0.00021605
84.6	9.99788	0.000211772
84.8	9.99792	0.000207579
85	9.99797	0.000203468
85.2	9.99801	0.000199439
85.4	9.99805	0.00019549
85.6	9.99808	0.000191619
85.8	9.99812	0.000187825
86	9.99816	0.000184106
86.2	9.9982	0.00018046
86.4	9.99823	0.000176887
86.6	9.99827	0.000173384
86.8	9.9983	0.000169951
87	9.99833	0.000166586
87.2	9.99837	0.000163287
87.4	9.9984	0.000160054
87.6	9.99843	0.000156885
87.8	9.99846	0.000153778
88	9.99849	0.000150733
88.2	9.99852	0.000147748
88.4	9.99855	0.000144823
88.6	9.99858	0.000141955
88.8	9.99861	0.000139144
89	9.99864	0.000136389
89.2	9.99866	0.000133688
89.4	9.99869	0.000131041
89.6	9.99872	0.000128446
89.8	9.99874	0.000125903
90	9.99877	0.00012341
90.2	9.99879	0.000120966
90.4	9.99881	0.000118571
90.6	9.99884	0.000116223
90.8	9.99886	0.000113922
91	9.99888	0.000111666
91.2	9.99891	0.000109455
91.4	9.99893	0.000107287
91.6	9.99895	0.000105163
91.8	9.99897	0.000103081
92	9.99899	0.000101039
92.2	9.99901	9.90387e-05
92.4	9.99903	9.70776e-05
92.6	9.99905	9.51553e-05
92.8	9.99907	9.32711e-05
93	9.99909	9.14242e-05
93.2	9.9991	8.96139e-05
93.4	9.99912	8.78394e-05
93.6	9.99914	8.61001e-05
93.8	9.99916	8.43952e-05
94	9.99917	8.2724e-05
94.2	9.99919	8.1086e-05
94.4	9.99921	7.94804e-05
94.6	9.99922	7.79066e-05
94.8	9.99924	7.63639e-05
95	9.99925	7.48518e-05
95.2	9.99927	7.33696e-05
95.4	9.99928	7.19168e-05
95.6	9.9993	7.04928e-05
95.8	9.99931	6.90969e-05
96	9.99932	6.77287e-05
96.2	9.99934	6.63876e-05
96.4	9.99935	6.5073e-05
96.6	9.99936	6.37845e-05
96.8	9.99937	6.25215e-05
97	9.99939	6.12835e-05
97.2	9.9994	6.007e-05
97.4	9.99941	5.88805e-05
97.6	9.99942	5.77146e-05
97.8	9.99943	5.65718e-05
98	9.99945	5.54516e-05
98.2	9.99946	5.43536e-05
98.4	9.99947	5.32773e-05
98.6	9.99948	5.22223e-05
98.8	9.99949	5.11883e-05
99	9.9995	5.01747e-05
99.2	9.99951	4.91811e-05
99.4	9.99952	4.82073e-05
99.6	9.99953	4.72527e-05
99.8	9.99954	4.63171e-05
100	9.99955	-0.999955
100.2	9.80164	-0.980164
100.4	9.60755	-0.960755
