Results of Simulation 1

Time	Q	dQ
39.8	9.81314	0.0186856
40	9.81684	0.0183156
40.2	9.82047	0.0179529
40.4	9.82403	0.0175974
40.6	9.82751	0.017249
40.8	9.83093	0.0169074
41	9.83427	0.0165726
41.2	9.83756	0.0162445
41.4	9.84077	0.0159228
41.6	9.84392	0.0156075
41.8	9.84702	0.0152985
42	9.85004	0.0149955
42.2	9.85301	0.0146986
42.4	9.85592	0.0144075
42.6	9.85878	0.0141223
42.8	9.86157	0.0138426
43	9.86431	0.0135685
43.2	9.867	0.0132998
43.4	9.86964	0.0130365
43.6	9.87222	0.0127783
43.8	9.87475	0.0125253
44	9.87723	0.0122773
44.2	9.87966	0.0120342
44.4	9.88204	0.0117959
44.6	9.88438	0.0115623
44.8	9.88667	0.0113334
45	9.88891	0.011109
45.2	9.89111	0.010889
45.4	9.89327	0.0106734
45.6	9.89538	0.010462
45.8	9.89745	0.0102549
46	9.89948	0.0100518
46.2	9.90147	0.00985277
46.4	9.90342	0.00965767
46.6	9.90534	0.00946643
46.8	9.90721	0.00927899
47	9.90905	0.00909525
47.2	9.91085	0.00891515
47.4	9.91261	0.00873862
47.6	9.91434	0.00856558
47.8	9.91604	0.00839597
48	9.9177	0.00822972
48.2	9.91933	0.00806676
48.4	9.92093	0.00790703
48.6	9.9225	0.00775046
48.8	9.92403	0.00759699
49	9.92553	0.00744656
49.2	9.92701	0.0072991
49.4	9.92845	0.00715456
49.6	9.92987	0.00701289
49.8	9.93126	0.00687402
50	9.93262	0.0067379
50.2	9.93396	0.00660448
50.4	9.93526	0.0064737
50.6	9.93654	0.00634551
50.8	9.9378	0.00621986
51	9.93903	0.00609669
51.2	9.94024	0.00597597
51.4	9.94142	0.00585763
51.6	9.94258	0.00574164
51.8	9.94372	0.00562795
52	9.94484	0.0055165
52.2	9.94593	0.00540726
52.4	9.947	0.00530019
52.6	9.94805	0.00519524
52.8	9.94908	0.00509236
53	9.95008	0.00499152
53.2	9.95107	0.00489268
53.4	9.95204	0.0047958
53.6	9.95299	0.00470083
53.8	9.95392	0.00460775
54	9.95483	0.00451651
54.2	9.95573	0.00442707
54.4	9.95661	0.00433941
54.6	9.95747	0.00425348
54.8	9.95831	0.00416925
55	9.95913	0.00408669
55.2	9.95994	0.00400577
55.4	9.96074	0.00392645
55.6	9.96151	0.0038487
55.8	9.96228	0.00377248
56	9.96302	0.00369778
56.2	9.96375	0.00362456
56.4	9.96447	0.00355279
56.6	9.96518	0.00348244
56.8	9.96587	0.00341348
57	9.96654	0.00334589
57.2	9.9672	0.00327963
57.4	9.96785	0.00321469
57.6	9.96849	0.00315103
57.8	9.96911	0.00308864
58	9.96973	0.00302748
58.2	9.97032	0.00296753
58.4	9.97091	0.00290876
58.6	9.97149	0.00285117
58.8	9.97205	0.00279471
59	9.97261	0.00273937
59.2	9.97315	0.00268512
59.4	9.97368	0.00263195
59.6	9.9742	0.00257984
59.8	9.97471	0.00252875
60	9.97521	0.00247868
60.2	9.9757	0.0024296
60.4	9.97619	0.00238148
60.6	9.97666	0.00233433
60.8	9.97712	0.0022881
61	9.97757	0.0022428
61.2	9.97802	0.00219839
61.4	9.97845	0.00215485
61.6	9.97888	0.00211218
61.8	9.9793	0.00207036
62	9.97971	0.00202936
62.2	9.98011	0.00198918
62.4	9.9805	0.00194979
62.6	9.98089	0.00191118
62.8	9.98127	0.00187334
63	9.98164	0.00183624
63.2	9.982	0.00179988
63.4	9.98236	0.00176424
63.6	9.98271	0.00172931
63.8	9.98305	0.00169506
64	9.98339	0.0016615
64.2	9.98371	0.0016286
64.4	9.98404	0.00159635
64.6	9.98435	0.00156474
64.8	9.98466	0.00153376
65	9.98497	0.00150339
65.2	9.98526	0.00147362
65.4	9.98556	0.00144444
65.6	9.98584	0.00141584
65.8	9.98612	0.0013878
66	9.9864	0.00136032
66.2	9.98667	0.00133338
66.4	9.98693	0.00130698
66.6	9.98719	0.0012811
66.8	9.98744	0.00125573
67	9.98769	0.00123087
67.2	9.98794	0.0012065
67.4	9.98817	0.00118261
67.6	9.98841	0.00115919
67.8	9.98864	0.00113624
68	9.98886	0.00111374
68.2	9.98908	0.00109168
68.4	9.9893	0.00107006
68.6	9.98951	0.00104888
68.8	9.98972	0.00102811
69	9.98992	0.00100775
69.2	9.99012	0.000987793
69.4	9.99032	0.000968233
69.6	9.99051	0.00094906
69.8	9.9907	0.000930267
70	9.99088	0.000911846
70.2	9.99106	0.00089379
70.4	9.99124	0.000876091
70.6	9.99141	0.000858743
70.8	9.99158	0.000841738
71	9.99175	0.00082507
71.2	9.99191	0.000808732
71.4	9.99207	0.000792718
71.6	9.99223	0.000777021
71.8	9.99238	0.000761634
72	9.99253	0.000746552
72.2	9.99268	0.000731769
72.4	9.99283	0.000717279
72.6	9.99297	0.000703076
72.8	9.99311	0.000689154
73	9.99324	0.000675507
73.2	9.99338	0.000662131
73.4	9.99351	0.00064902
73.6	9.99364	0.000636168
73.8	9.99376	0.000623571
74	9.99389	0.000611223
74.2	9.99401	0.00059912
74.4	9.99413	0.000587256
74.6	9.99424	0.000575627
74.8	9.99436	0.000564229
75	9.99447	0.000553056
75.2	9.99458	0.000542105
75.4	9.99469	0.00053137
75.6	9.99479	0.000520848
75.8	9.99489	0.000510534
76	9.995	0.000500425
76.2	9.99509	0.000490516
76.4	9.99519	0.000480802
76.6	9.99529	0.000471282
76.8	9.99538	0.000461949
77	9.99547	0.000452802
77.2	9.99556	0.000443835
77.4	9.99565	0.000435046
77.6	9.99574	0.000426432
77.8	9.99582	0.000417988
78	9.9959	0.000409711
78.2	9.99598	0.000401598
78.4	9.99606	0.000393645
78.6	9.99614	0.00038585
78.8	9.99622	0.00037821
79	9.99629	0.00037072
79.2	9.99637	0.000363379
79.4	9.99644	0.000356184
79.6	9.99651	0.000349131
79.8	9.99658	0.000342217
80	9.99665	0.000335441
80.2	9.99671	0.000328798
80.4	9.99678	0.000322287
80.6	9.99684	0.000315906
80.8	9.9969	0.00030965
81	9.99696	0.000303518
81.2	9.99702	0.000297508
81.4	9.99708	0.000291617
81.6	9.99714	0.000285842
81.8	9.9972	0.000280182
82	9.99725	0.000274634
82.2	9.99731	0.000269196
82.4	9.99736	0.000263865
82.6	9.99741	0.00025864
82.8	9.99746	0.000253519
83	9.99752	0.000248498
83.2	9.99756	0.000243578
83.4	9.99761	0.000238754
83.6	9.99766	0.000234027
83.8	9.99771	0.000229392
84	9.99775	0.00022485
84.2	9.9978	0.000220398
84.4	9.99784	0.000216033
84.6	9.99788	0.000211756
84.8	9.99792	0.000207562
85	9.99797	0.000203452
85.2	9.99801	0.000199423
85.4	9.99805	0.000195474
85.6	9.99808	0.000191604
85.8	9.99812	0.000187809
86	9.99816	0.00018409
86.2	9.9982	0.000180445
86.4	9.99823	0.000176872
86.6	9.99827	0.00017337
86.8	9.9983	0.000169937
87	9.99833	0.000166572
87.2	9.99837	0.000163273
87.4	9.9984	0.00016004
87.6	9.99843	0.000156871
87.8	9.99846	0.000153765
88	9.99849	0.00015072
88.2	9.99852	0.000147735
88.4	9.99855	0.00014481
88.6	9.99858	0.000141943
88.8	9.99861	0.000139132
89	9.99864	0.000136377
89.2	9.99866	0.000133676
89.4	9.99869	0.000131029
89.6	9.99872	0.000128434
89.8	9.99874	0.000125891
90	9.99877	0.000123398
90.2	9.99879	0.000120955
90.4	9.99881	0.00011856
90.6	9.99884	0.000116212
90.8	9.99886	0.000113911
91	9.99888	0.000111655
91.2	9.99891	0.000109444
91.4	9.99893	0.000107277
91.6	9.99895	0.000105153
91.8	9.99897	0.000103071
92	9.99899	0.00010103
92.2	9.99901	9.9029e-05
92.4	9.99903	9.70681e-05
92.6	9.99905	9.5146e-05
92.8	9.99907	9.3262e-05
93	9.99909	9.14152e-05
93.2	9.9991	8.9605e-05
93.4	9.99912	8.78306e-05
93.6	9.99914	8.60914e-05
93.8	9.99916	8.43866e-05
94	9.99917	8.27156e-05
94.2	9.99919	8.10777e-05
94.4	9.99921	7.94722e-05
94.6	9.99922	7.78985e-05
94.8	9.99924	7.6356e-05
95	9.99925	7.4844e-05
95.2	9.99927	7.33619e-05
95.4	9.99928	7.19092e-05
95.6	9.9993	7.04853e-05
95.8	9.99931	6.90896e-05
96	9.99932	6.77215e-05
96.2	9.99934	6.63805e-05
96.4	9.99935	6.5066e-05
96.6	9.99936	6.37775e-05
96.8	9.99937	6.25146e-05
97	9.99939	6.12767e-05
97.2	9.9994	6.00633e-05
97.4	9.99941	5.88739e-05
97.6	9.99942	5.77081e-05
97.8	9.99943	5.65654e-05
98	9.99945	5.54453e-05
98.2	9.99946	5.43474e-05
98.4	9.99947	5.32712e-05
98.6	9.99948	5.22164e-05
98.8	9.99949	5.11824e-05
99	9.9995	5.01689e-05
99.2	9.99951	4.91755e-05
99.4	9.99952	4.82017e-05
99.6	9.99953	4.72472e-05
99.8	9.99954	4.63117e-05
100	9.99955	-0.999955
100.2	9.80155	-0.980155
100.4	9.60746	-0.960746
100.6	9.41722	-0.941722
100.8	9.23075	-0.923075
101	9.04797	-0.904797
101.2	8.86881	-0.886881
101.4	8.69319	-0.869319
101.6	8.52106	-0.852106
101.8	8.35233	-0.835233
102	8.18694	-0.818694
102.2	8.02483	-0.802483
102.4	7.86593	-0.786593
102.6	7.71017	-0.771017
102.8	7.5575	-0.75575
103	7.40785	-0.740785
103.2	7.26117	-0.726117
103.4	7.11739	-0.711739
103.6	6.97645	-0.697645
103.8	6.83831	-0.683831
104	6.7029	-0.67029
104.2	6.57017	-0.657017
104.4	6.44008	-0.644008
104.6	6.31255	-0.631255
104.8	6.18756	-0.618756
105	6.06504	-0.606504
105.2	5.94494	-0.594494
105.4	5.82722	-0.582722
105.6	5.71184	-0.571184
105.8	5.59873	-0.559873
106	5.48787	-0.548787
106.2	5.3792	-0.53792
106.4	5.27269	-0.527269
106.6	5.16828	-0.516828
106.8	5.06594	-0.506594
107	4.96563	-0.496563
107.2	4.86731	-0.486731
107.4	4.77093	-0.477093
107.6	4.67646	-0.467646
107.8	4.58386	-0.458386
108	4.49309	-0.449309
108.2	4.40412	-0.440412
108.4	4.31691	-0.431691
108.6	4.23143	-0.423143
108.8	4.14764	-0.414764
109	4.06551	-0.406551
